id,code,name,city,product_id
11152,MSP, MN: Minneapolis-St Paul International,Minneapolis,11152
11153,ORD, IL: Chicago O'Hare International,Chicago,11153
11154,PDX, OR: Portland International,Portland,11154
11155,PHL, PA: Philadelphia International,Philadelphia,11155
11156,PHX, AZ: Phoenix Sky Harbor International,Phoenix,11156
11157,SAN, CA: San Diego International,San Diego,11157
11158,SEA, WA: Seattle/Tacoma International,Seattle,11158
11159,SFO, CA: San Francisco International,San Francisco,11159
11160,SLC, UT: Salt Lake City International,Salt Lake City,11160
11161,TPA, FL: Tampa International,Tampa,11161
11162,ATL, GA: Hartsfield-Jackson Atlanta International,Atlanta,11162
11163,BOS, MA: Logan International,Boston,11163
11164,BWI, MD: Baltimore/Washington International Thurgood Marshall,Baltimore,11164
11165,CLT, NC: Charlotte Douglas International,Charlotte,11165
11166,DCA, DC: Ronald Reagan Washington National,Washington,11166
11167,DFW, TX: Dallas/Fort Worth International,Dallas/Fort Worth,11167
11168,DTW, MI: Detroit Metro Wayne County,Detroit,11168
11169,EWR, NJ: Newark Liberty International,Newark,11169
11170,IAD, DC: Washington Dulles International,Washington,11170
11171,JFK, NY: John F. Kennedy International,New York,11171
11172,LAX, CA: Los Angeles International,Los Angeles,11172
11173,LGA, NY: LaGuardia,New York,11173
11174,MCO, FL: Orlando International,Orlando,11174
11175,MDW, IL: Chicago Midway International,Chicago,11175
11176,MIA, FL: Miami International,Miami,11176
11177,MSP, MN: Minneapolis-St Paul International,Minneapolis,11177
11178,ORD, IL: Chicago O'Hare International,Chicago,11178
11179,SAN, CA: San Diego International,San Diego,11179
11180,SFO, CA: San Francisco International,San Francisco,11180
11181,ATL, GA: Hartsfield-Jackson Atlanta International,Atlanta,11181
11182,BOS, MA: Logan International,Boston,11182
11183,BWI, MD: Baltimore/Washington International Thurgood Marshall,Baltimore,11183
11184,CLT, NC: Charlotte Douglas International,Charlotte,11184
11185,DCA, DC: Ronald Reagan Washington National,Washington,11185
11186,DEN, CO: Denver International,Denver,11186
11187,DFW, TX: Dallas/Fort Worth International,Dallas/Fort Worth,11187
11188,DTW, MI: Detroit Metro Wayne County,Detroit,11188
11189,EWR, NJ: Newark Liberty International,Newark,11189
11190,FLL, FL: Fort Lauderdale-Hollywood International,Fort Lauderdale,11190
11191,IAD, DC: Washington Dulles International,Washington,11191
11192,IAH, TX: George Bush Intercontinental/Houston,Houston,11192
11193,JFK, NY: John F. Kennedy International,New York,11193
11194,LAS, NV: McCarran International,Las Vegas,11194
11195,LAX, CA: Los Angeles International,Los Angeles,11195
11196,LGA, NY: LaGuardia,New York,11196
11197,MCO, FL: Orlando International,Orlando,11197
11198,MDW, IL: Chicago Midway International,Chicago,11198
11199,MIA, FL: Miami International,Miami,11199
11200,MSP, MN: Minneapolis-St Paul International,Minneapolis,11200
11201,ORD, IL: Chicago O'Hare International,Chicago,11201
11202,PDX, OR: Portland International,Portland,11202
11203,PHL, PA: Philadelphia International,Philadelphia,11203
11204,PHX, AZ: Phoenix Sky Harbor International,Phoenix,11204
11205,SAN, CA: San Diego International,San Diego,11205
11206,SEA, WA: Seattle/Tacoma International,Seattle,11206
11207,SFO, CA: San Francisco International,San Francisco,11207
11208,SLC, UT: Salt Lake City International,Salt Lake City,11208
11209,TPA, FL: Tampa International,Tampa,11209
11210,ATL, GA: Hartsfield-Jackson Atlanta International,Atlanta,11210
11211,BOS, MA: Logan International,Boston,11211
11212,BWI, MD: Baltimore/Washington International Thurgood Marshall,Baltimore,11212
11213,CLT, NC: Charlotte Douglas International,Charlotte,11213
11214,DCA, DC: Ronald Reagan Washington National,Washington,11214
11215,DEN, CO: Denver International,Denver,11215
11216,DTW, MI: Detroit Metro Wayne County,Detroit,11216
11217,EWR, NJ: Newark Liberty International,Newark,11217
11218,FLL, FL: Fort Lauderdale-Hollywood International,Fort Lauderdale,11218
11219,IAD, DC: Washington Dulles International,Washington,11219
11220,IAH, TX: George Bush Intercontinental/Houston,Houston,11220
11221,JFK, NY: John F. Kennedy International,New York,11221
11222,LGA, NY: LaGuardia,New York,11222
11223,MCO, FL: Orlando International,Orlando,11223
11224,MIA, FL: Miami International,Miami,11224
11225,MSP, MN: Minneapolis-St Paul International,Minneapolis,11225
11226,ORD, IL: Chicago O'Hare International,Chicago,11226
11227,PHL, PA: Philadelphia International,Philadelphia,11227
11228,ATL, GA: Hartsfield-Jackson Atlanta International,Atlanta,11228
11229,TPA, FL: Tampa International,Tampa,11229
11230,DEN, CO: Denver International,Denver,11230
11231,IAH, TX: George Bush Intercontinental/Houston,Houston,11231
11232,LAS, NV: McCarran International,Las Vegas,11232
11233,LAX, CA: Los Angeles International,Los Angeles,11233
11234,MSP, MN: Minneapolis-St Paul International,Minneapolis,11234
11235,ORD, IL: Chicago O'Hare International,Chicago,11235
11236,PDX, OR: Portland International,Portland,11236
11237,PHX, AZ: Phoenix Sky Harbor International,Phoenix,11237
11238,SAN, CA: San Diego International,San Diego,11238
11239,SEA, WA: Seattle/Tacoma International,Seattle,11239
11240,SFO, CA: San Francisco International,San Francisco,11240
11241,SLC, UT: Salt Lake City International,Salt Lake City,11241
11242,ATL, GA: Hartsfield-Jackson Atlanta International,Atlanta,11242
11243,BOS, MA: Logan International,Boston,11243
11244,BWI, MD: Baltimore/Washington International Thurgood Marshall,Baltimore,11244
11245,CLT, NC: Charlotte Douglas International,Charlotte,11245
11246,DCA, DC: Ronald Reagan Washington National,Washington,11246
11247,DEN, CO: Denver International,Denver,11247
11248,DFW, TX: Dallas/Fort Worth International,Dallas/Fort Worth,11248
11249,DTW, MI: Detroit Metro Wayne County,Detroit,11249
11250,EWR, NJ: Newark Liberty International,Newark,11250
11251,IAD, DC: Washington Dulles International,Washington,11251
11252,IAH, TX: George Bush Intercontinental/Houston,Houston,11252
11253,JFK, NY: John F. Kennedy International,New York,11253
11254,LGA, NY: LaGuardia,New York,11254
11255,MCO, FL: Orlando International,Orlando,11255
11256,MDW, IL: Chicago Midway International,Chicago,11256
11257,MIA, FL: Miami International,Miami,11257
11258,MSP, MN: Minneapolis-St Paul International,Minneapolis,11258
11259,ORD, IL: Chicago O'Hare International,Chicago,11259
11260,PHL, PA: Philadelphia International,Philadelphia,11260
11261,PHX, AZ: Phoenix Sky Harbor International,Phoenix,11261
11262,SLC, UT: Salt Lake City International,Salt Lake City,11262
11263,TPA, FL: Tampa International,Tampa,11263
11264,DCA, DC: Ronald Reagan Washington National,Washington,11264
11265,DEN, CO: Denver International,Denver,11265
11266,DFW, TX: Dallas/Fort Worth International,Dallas/Fort Worth,11266
11267,LAS, NV: McCarran International,Las Vegas,11267
11268,LAX, CA: Los Angeles International,Los Angeles,11268
11269,LGA, NY: LaGuardia,New York,11269
11270,MCO, FL: Orlando International,Orlando,11270
11271,MDW, IL: Chicago Midway International,Chicago,11271
11272,MSP, MN: Minneapolis-St Paul International,Minneapolis,11272
11273,PHX, AZ: Phoenix Sky Harbor International,Phoenix,11273
11274,SFO, CA: San Francisco International,San Francisco,11274
11275,ATL, GA: Hartsfield-Jackson Atlanta International,Atlanta,11275
11276,BOS, MA: Logan International,Boston,11276
11277,BWI, MD: Baltimore/Washington International Thurgood Marshall,Baltimore,11277
11278,CLT, NC: Charlotte Douglas International,Charlotte,11278
11279,DCA, DC: Ronald Reagan Washington National,Washington,11279
11280,DEN, CO: Denver International,Denver,11280
11281,DFW, TX: Dallas/Fort Worth International,Dallas/Fort Worth,11281
11282,DTW, MI: Detroit Metro Wayne County,Detroit,11282
11283,EWR, NJ: Newark Liberty International,Newark,11283
11284,FLL, FL: Fort Lauderdale-Hollywood International,Fort Lauderdale,11284
11285,IAD, DC: Washington Dulles International,Washington,11285
11286,IAH, TX: George Bush Intercontinental/Houston,Houston,11286
11287,JFK, NY: John F. Kennedy International,New York,11287
11288,LAS, NV: McCarran International,Las Vegas,11288
11289,LAX, CA: Los Angeles International,Los Angeles,11289
11290,LGA, NY: LaGuardia,New York,11290
11291,MCO, FL: Orlando International,Orlando,11291
11292,MDW, IL: Chicago Midway International,Chicago,11292
11293,MIA, FL: Miami International,Miami,11293
11294,MSP, MN: Minneapolis-St Paul International,Minneapolis,11294
11295,ORD, IL: Chicago O'Hare International,Chicago,11295
11296,PDX, OR: Portland International,Portland,11296
11297,PHL, PA: Philadelphia International,Philadelphia,11297
11298,PHX, AZ: Phoenix Sky Harbor International,Phoenix,11298
11299,SAN, CA: San Diego International,San Diego,11299
11300,SEA, WA: Seattle/Tacoma International,Seattle,11300
11301,SFO, CA: San Francisco International,San Francisco,11301
11302,SLC, UT: Salt Lake City International,Salt Lake City,11302
11303,TPA, FL: Tampa International,Tampa,11303
11304,ATL, GA: Hartsfield-Jackson Atlanta International,Atlanta,11304
11305,BOS, MA: Logan International,Boston,11305
11306,BWI, MD: Baltimore/Washington International Thurgood Marshall,Baltimore,11306
11307,CLT, NC: Charlotte Douglas International,Charlotte,11307
11308,DCA, DC: Ronald Reagan Washington National,Washington,11308
11309,DEN, CO: Denver International,Denver,11309
11310,DFW, TX: Dallas/Fort Worth International,Dallas/Fort Worth,11310
